serial_id,category,model,brand,specifications,price_tk,price_usd,unit,stock_qty,notes
W-001,surface pump,QB60,Fancy,0.5 HP (0.37 kW) | Single-Phase | Flow: 5-40 LPM | Head: 33-4 M | Rated: 1.5 m³/h @ 12 M | Port: 1x1 in,4500,,pc,,
W-002,surface pump,FJWm10M,Fancy,1 HP (0.75 kW) | Single-Phase | Flow: 5-85 LPM | Head: 49-6 M | Rated: 2.7 m³/h @ 23 M | Port: 1x1 in,10500,,pc,,
W-003,surface pump,FJWm3CL,Fancy,1.5 HP (1.1 kW) | Single-Phase | Flow: 10-150 LPM | Head: 48-11 M | Rated: 4.8 m³/h @ 30 M | Port: 1.25x1 in,22500,,pc,,
W-004,surface pump,FCm158,Fancy,1 HP (0.75 kW) | Single-Phase | Flow: 20-120 LPM | Head: 32-11 M | Rated: 5.4 m³/h @ 19 M | Port: 1x1 in,11200,,pc,,
W-005,surface pump,FCm170M,Fancy,1.5 HP (1.1 kW) | Single-Phase | Flow: 20-160 LPM | Head: 35.5-10.5 M | Rated: 5.4 m³/h @ 26 M | Port: 1.25x1 in,18200,,pc,,
W-006,surface pump,FCm25/160A,Fancy,2 HP (1.5 kW) | Single-Phase | Flow: 20-225 LPM | Head: 38.5-6.5 M | Rated: 8.4 m³/h @ 23 M | Port: 1.5x1 in,22000,,pc,,
W-007,surface pump,F2Cm25/140M,Fancy,2 HP (1.5 kW) | Single-Phase | Flow: 10-180 LPM | Head: 49-14 M | Rated: 6 m³/h @ 33 M | Port: 1.5x1 in,25300,,pc,,
W-008,surface pump,F2Cm32/160A,Fancy,3 HP (2.2 kW) | Single-Phase | Flow: 10-170 LPM | Head: 60-20 M | Rated: 6 m³/h @ 45 M | Port: 1.5x1.25 in,30500,,pc,,
W-009,surface pump,FHm5B,Fancy,1 HP (0.75 kW) | Single-Phase | Flow: 100-480 LPM | Head: 14-3 M | Rated: 19.2 m³/h @ 8 M | Port: 2x2 in,10800,,pc,,
W-010,surface pump,FHm6C,Fancy,1.5 HP (1.1 kW) | Single-Phase | Flow: 100-850 LPM | Head: 14-2 M | Rated: 28.8 m³/h @ 8.5 M | Port: 3x3 in,19200,,pc,,
W-011,surface pump,FHm6B,Fancy,2 HP (1.5 kW) | Single-Phase | Flow: 100-900 LPM | Head: 16-5 M | Rated: 31.2 m³/h @ 10.2 M | Port: 3x3 in,22800,,pc,,
W-012,surface pump,FTD100-15/2,Fancy,5.5 HP (4 kW) | Three-Phase | Flow: 833-1333 LPM | Head: 16.2-11 M | Rated: 60 m³/h @ 15 M | Port: 4x4 in,66000,,pc,,
W-013,surface pump,FST 40-160/40,Fancy,5.5 HP (4 kW) | Three-Phase | Flow: 300-800 LPM | Head: 36-20 M | Rated: 27 m³/h @ 33 M | Port: 2.5x1.5 in,70000,,pc,,
W-014,surface pump,FST 40-200/55,Fancy,7.5 HP (5.5 kW) | Three-Phase | Flow: 300-700 LPM | Head: 43.8-30 M | Rated: 27 m³/h @ 40 M | Port: 2.5x1.5 in,85000,,pc,,
W-015,surface pump,FST 50-160/75,Fancy,10 HP (7.5 kW) | Three-Phase | Flow: 600-1500 LPM | Head: 38-21 M | Rated: 54 m³/h @ 34.4 M | Port: 2.5x2 in,95000,,pc,,
W-016,surface pump,CDLFm 2-11,Fancy,1.5 HP (1.1 kW) | Single-Phase | Flow: 17-58 LPM | Head: 98-44 M | Rated: 2 m³/h @ 82 M | Port: 1x1 in,52000,,pc,,
W-017,surface pump,CDLFm 2-15,Fancy,2 HP (1.5 kW) | Single-Phase | Flow: 17-58 LPM | Head: 134-60 M | Rated: 2 m³/h @ 136 M | Port: 1x1 in,56500,,pc,,
W-018,surface pump,CDLFm 2-22,Fancy,3 HP (2.2 kW) | Single-Phase | Flow: 17-58 LPM | Head: 197-90 M | Rated: 2 m³/h @ 165 M | Port: 1x1 in,69500,,pc,,
W-019,surface pump,CDLm 2-22,Fancy,3 HP (2.2 kW) | Single-Phase | Flow: 17-58 LPM | Head: 197-90 M | Rated: 2 m³/h @ 165 M | Port: 1x1 in,59000,,pc,,
W-020,surface pump,CDLm 4-12,Fancy,3 HP (2.2 kW) | Single-Phase | Flow: 25-117 LPM | Head: 114-58 M | Rated: 4 m³/h @ 95 M | Port: 1.25x1.25 in,56000,,pc,,
W-021,surface pump,CDL 4-16,Fancy,4 HP (3 kW) | Three-Phase | Flow: 25-117 LPM | Head: 152-78 M | Rated: 4 m³/h @ 112 M | Port: 1.25x1.25 in,62400,,pc,,
W-022,surface pump,CDLF 4-22,Fancy,5.5 HP (4 kW) | Three-Phase | Flow: 25-117 LPM | Head: 211-108 M | Rated: 4 m³/h @ 178 M | Port: 1.25x1.25 in,102000,,pc,,
W-023,surface pump,FVLm2-8,Fancy,2 HP (1.5 kW) | Single-Phase | Flow: 17-108 LPM | Head: 88-42 M | Rated: 2 m³/h @ 80 M | Port: 1x1 in,30500,,pc,,
W-024,surface pump,FVCm4-11,Fancy,4 HP (3 kW) | Single-Phase | Flow: 17-150 LPM | Head: 121-58 M | Rated: 4 m³/h @ 110 M | Port: 1x1 in,48000,,pc,,
W-025,submersible pump,3SDM4/6,Fancy,0.33 HP (0.25 kW) | Single-Phase | Flow: 20-100 LPM | Head: 43-19 M | Rated: 4 m³/h @ 17 M | Port: 1.25 in,12500,,pc,,
W-026,submersible pump,3SDM4/9,Fancy,0.5 HP (0.37 kW) | Single-Phase | Flow: 20-100 LPM | Head: 57-25 M | Rated: 4 m³/h @ 25 M | Port: 1.25 in,13750,,pc,,
W-027,submersible pump,3SDM4/13,Fancy,0.8 HP (0.55 kW) | Single-Phase | Flow: 20-100 LPM | Head: 85-38 M | Rated: 4 m³/h @ 34 M | Port: 1.25 in,15750,,pc,,
W-028,submersible pump,3SDM4/17,Fancy,1 HP (0.75 kW) | Single-Phase | Flow: 20-100 LPM | Head: 113-50 M | Rated: 4 m³/h @ 45 M | Port: 1.25 in,17900,,pc,,
W-029,submersible pump,4SDM6/7,Fancy,1 HP (0.75 kW) | Single-Phase | Flow: 20-140 LPM | Head: 50-13 M | Rated: 6 m³/h @ 32 M | Port: 1.5 in,20200,,pc,,
W-030,submersible pump,4SDM6/11,Fancy,1.5 HP (1.1 kW) | Single-Phase | Flow: 20-140 LPM | Head: 76-21 M | Rated: 6 m³/h @ 51 M | Port: 1.5 in,24480,,pc,,
W-031,submersible pump,4SDM6/15,Fancy,2 HP (1.5 kW) | Single-Phase | Flow: 20-140 LPM | Head: 104-29 M | Rated: 6 m³/h @ 70 M | Port: 1.5 in,28900,,pc,,
W-032,surface pump,PEM-3N,CRI,0.5 HP (0.37 kW) | Single-Phase | Flow: 5-30 LPM | Head: 30-7 M | Rated: 1.5 m³/h @ 15 M | Port: 1x1 in,4856,,pc,,
W-033,surface pump,FJWm10M,CRI,1 HP (0.75 kW) | Single-Phase | Flow: 17-84 LPM | Head: 42-15 M | Rated: 2.5 m³/h @ 23 M | Port: 1x1 in,11000,,pc,,
W-034,surface pump,ACM-60N,CRI,0.5 HP (0.37 kW) | Single-Phase | Flow: 60-222 LPM | Head: 12-9 M | Rated: 10 m³/h @ 8 M | Port: 2x2 in,11954,,pc,,
W-035,surface pump,ACM-A6,CRI,1 HP (0.75 kW) | Single-Phase | Flow: 100-500 LPM | Head: 13-7 M | Rated: 20 m³/h @ 8 M | Port: 2x2 in,15530,,pc,,
W-036,surface pump,ACM-40S,CRI,1 HP (0.75 kW) | Single-Phase | Flow: 415-750 LPM | Head: 9-5 M | Rated: 40 m³/h @ 7 M | Port: 3x3 in,19820,,pc,,
W-037,surface pump,ACM-42,CRI,1.5 HP (1.1 kW) | Single-Phase | Flow: 180-840 LPM | Head: 12-6 M | Rated: 45 m³/h @ 8 M | Port: 3x3 in,23704,,pc,,
W-038,surface pump,ACM-64,CRI,3 HP (2.2 kW) | Single-Phase | Flow: 563-1046 LPM | Head: 14-6 M | Rated: 55 m³/h @ 7 M | Port: 4x4 in,34740,,pc,,
W-039,surface pump,L3P-4/06G-02N,CRI,0.33 HP (0.25 kW) | Single-Phase | Flow: 10-90 LPM | Head: 23-5 M | Rated: 4 m³/h @ 15 M | Port: 1.25 in,13125,,pc,,
W-040,surface pump,L3P-4/09G-03N,CRI,0.5 HP (0.37 kW) | Single-Phase | Flow: 10-90 LPM | Head: 34-8 M | Rated: 4 m³/h @ 20 M | Port: 1.25 in,14375,,pc,,
W-041,surface pump,L3P-2E/21G-07N,CRI,1 HP (0.75 kW) | Single-Phase | Flow: 8-60 LPM | Head: 82-21 M | Rated: 2 m³/h @ 65 M | Port: 1 in,18675,,pc,,
